id,archivo,nombre
399,digesto/27-03-08.doc,Normas Marzo 2008 C
398,digesto/14-11-08.doc,Normas noviembre 2008
397,digesto/14-03-08.doc,Normas marzo 2008 b
396,digesto/12-09-08.doc,Normas septiembre 2008
395,digesto/10-12-08.doc,Normas diciembre 2008
394,digesto/10-04-08.doc,Normas abril 2008
393,digesto/04-03-08.doc,Normas marzo 2008
392,digesto/AGOSTO2007.dotx,Agosto 2007
391,digesto/Enero_2007.doc,Enero 2007
390,digesto/Ordenanzas_116-07_Boliche.doc,Ordenanza 116/07
389,digesto/159-07_Bis.doc,Ordenanza 159/07 bis
388,digesto/127-07.doc,Ordenanza 127/07
387,digesto/126-07.-.doc,Ordenanza 126/07
386,digesto/064-07.doc,Ordenanza 064/07
385,digesto/062-07.doc,Ordenanza 062/07
384,digesto/061-07.doc,Ordenanza 061/07
383,digesto/060-07.doc,Ordenanza 060/07
382,digesto/059-07.doc,Ordenanza 059/07
381,digesto/058-07.doc,Ordenanza 058/07
380,digesto/057-07.doc,Ordenanza 057/07
379,digesto/056-07.doc,Ordenanza 056/07
378,digesto/055-07.doc,Ordenanza 055/07
377,digesto/054-07.doc,Ordenanza 054/07
376,digesto/053-07.doc,Ordenanza  053/07
375,digesto/052-07.doc,Ordenanza 052/07
374,digesto/051-07.doc,Ordenanza 051/07
373,digesto/050-07.doc,Ordenanza 050/07
372,digesto/049-07.doc,Ordenanza 049/07
371,digesto/048-07.doc,Ordenanza 048/07
370,digesto/047-07.doc,Ordenanza 047/07
369,digesto/044-07.doc,Ordenanza 044/07
368,digesto/043-07.doc,Ordenanza  043/07
367,digesto/042-07.doc,Ordenanza 042/07
366,digesto/041-07.doc,Ordenanza 041/07
365,digesto/040-07.doc,Ordenanza 040/07
364,digesto/039-07.doc,Ordenanza 039/07
363,digesto/038-07.doc,Ordenanza 038/07
362,digesto/037-07.doc,Ordenanza 037/07
361,digesto/034-07.doc,Ordenanza 034/07
360,digesto/033-07.doc,Ordenanza 033/07
359,digesto/032-07.doc,Ordenanza 032/07
358,digesto/031-07.doc,Ordenanza 031/07
357,digesto/30-11-07.doc,30-11-2007
356,digesto/030-07.doc,Ordenanza 030/07
355,digesto/029-07.doc,Ordenanza 029/07
354,digesto/028-07.doc,Ordenanza 028/07
353,digesto/027-07.doc,Ordenanza 027/07
352,digesto/026-07.doc,Ordenanza 026/07
351,digesto/024-07.doc,Ordenanza 024/07
350,digesto/023-07.doc,Ordenanza 023/07
349,digesto/022-07.doc,Ordenanza 022/07
348,digesto/021-07.doc,Ordenanza 021/07
347,digesto/020-07.doc,Ordenanza 020/07
346,digesto/019-08.-.doc,Ordenanza 019/08
345,digesto/019-07.doc,Ordenanza 019/07
344,digesto/018-07.doc,Ordenanza 018/07
343,digesto/11_de_mayo_de_2007.doc,11 de mayo 2007
342,digesto/abril_2006.doc,Abril 2006
341,digesto/252-06.doc,Ordenanza 252/06
340,digesto/251-06.doc,Ordenaza 251/06
339,digesto/250-06.doc,Ordenanza 250/06
338,digesto/249-06.doc,Ordenanza 249/06
337,digesto/248-06.doc,Ordenanza 248/06
336,digesto/247-06.doc,Ordenanza 247/06
335,digesto/246-06.doc,Ordenanza 246/06
334,digesto/245-06.doc,Ordenanza 245/06
333,digesto/244-06.doc,Ordenanza 244/06
332,digesto/243-06.doc,Ordenanza 243/06
331,digesto/242-06.doc,Ordenanza 242/06
330,digesto/241-06.doc,Ordenanza 241/05
329,digesto/229-06.doc,Ordenanza 229/06
328,digesto/228-06.doc,Ordenanza 228/06
327,digesto/227-06.doc,Ordenanza 227/06
326,digesto/225-06.doc,Ordenanza 225/06
325,digesto/224-06.doc,Ordenanza 224/06
324,digesto/223-06.doc,Ordenanza 223/06
323,digesto/222-06.doc,Ordenanza 222/06
322,digesto/222-02.doc,Ordenanzas 222/02 y 223/02
321,digesto/220-06.doc,Ordenanza 220/06
320,digesto/219-06.doc,Ordenanza 219/06
319,digesto/218-06.doc,Ordenanza 218/06
318,digesto/215-06.doc,Ordenanza 215/06
317,digesto/213-06.doc,Ordenanza 213/06
316,digesto/202-06.doc,Ordenanza 202/06
315,digesto/179-06.doc,Ordenanza 179/06
314,digesto/177-06.doc,Ordenanza 177/06
313,digesto/176-06.doc,Ordenanza 176/06
312,digesto/175-06.doc,Ordenanza 175/06
311,digesto/174-06.doc,Ordenanza 174/06
310,digesto/173-06.doc,Ordenanza 173/06
309,digesto/172-06.doc,Ordenanza 172/06
308,digesto/171-06.doc,Ordenanza 171/06
307,digesto/170-06.doc,Ordenanza 170/06
306,digesto/169-06.doc,Ordenanza 169/06
305,digesto/168-06.doc,Ordenanza 168/06
304,digesto/167-06.doc,Ordenanza 167/06
303,digesto/166-06.doc,Ordenanza 166/06
302,digesto/163-06.doc,Ordenanza 163/06
301,digesto/162-06.doc,Ordenanza 162/06
300,digesto/160-06.doc,Ordenanza 160/06
299,digesto/159-06.doc,Ordenanza 159/06
298,digesto/156-06.doc,Ordenanza 156/06
297,digesto/154-06.doc,Ordenanza 166/06
296,digesto/153-06.doc,Ordenanzas desde 153/06
295,digesto/152-06.doc,Ordenanza 152/06
294,digesto/151-06.doc,Ordenanza 151/06
293,digesto/150-06.doc,Ordenanza 150/06
292,digesto/149-06.doc,Ordenanza 149/06
291,digesto/148-06_6Q25Yyz.doc,Ordenanza 148/06
290,digesto/147-06.doc,Ordenanza 147/06
289,digesto/148-06.doc,Ordenanza 148/06
288,digesto/145-06.doc,Ordenanza 145/06
287,digesto/143-06.doc,Ordenanza 143/06
286,digesto/142-06.doc,Ordenanza 142/06
285,digesto/140-06.doc,Ordenanza 140/06
284,digesto/139-06.doc,Ordenanza 139/06
283,digesto/138-06.doc,Ordenanza 138/06
282,digesto/137-06.doc,Ordenanza 137/06
281,digesto/136-06.doc,Ordenanza 136/06
280,digesto/135-06.doc,Ordenanza 135/06
279,digesto/134-06.doc,Ordenanza 134/06
278,digesto/133-06.doc,Ordenanza 133/06
277,digesto/132-06.doc,Ordenanza  132/06
276,digesto/131-06.doc,Ordenanza 131/06
275,digesto/130-06.doc,Ordenanza 130/06
274,digesto/129-06.doc,Ordenanza 129/06
273,digesto/128-06.doc,Ordenanza 128/06
272,digesto/127-06.doc,Ordenanza 127/06
271,digesto/126-06.doc,Ordenanza 126/06
270,digesto/125-06.doc,Ordenanza 125/06
269,digesto/124-06.doc,Ordenanza 124/06
268,digesto/122-06.doc,Ordenanza 122/06
267,digesto/121-06.doc,Ordenanza 121/06
266,digesto/119-06.doc,Ordenanza 119/06
265,digesto/118-06.doc,Ordenanza 118/06
264,digesto/117-06.doc,Ordenanza 117/06
263,digesto/116-06.doc,Ordenanza 116/06
262,digesto/115-06.doc,Ordenanza 115/06
261,digesto/114-06.doc,Ordenanza 114/06
260,digesto/113-06.doc,Ordenanza 113/06
259,digesto/111-06.doc,Ordenanza 111/06
258,digesto/110-06.doc,Ordenanza  110/06
257,digesto/107-06.doc,Ordenanzas a partir de 107/06
256,,Ordenanza 106/06
255,digesto/105-06.doc,Ordenanza 105/06
254,digesto/104-06.doc,Ordenanza 104/06
253,digesto/103-06.doc,Ordenanza 103/06
252,digesto/101-06.doc,Ordenanza 101/06
251,digesto/100-06.doc,Ordenanza 100/06
250,digesto/097-06.doc,Ordenanza 097/06
249,digesto/096-06.doc,Ordenanza 096/06
248,digesto/095-06.doc,Ordenanza 095/06
247,digesto/094-06.doc,Ordenanza 094/06
246,digesto/093-06.doc,Ordenanza 093/06
245,digesto/092-06.doc,Ordenanza 092/06
244,digesto/091-06.doc,Ordenanza 091/06
243,digesto/090-06.doc,Ordenanza 090/06
242,digesto/089-06.doc,Ordenanza 089/06
241,digesto/088-06.doc,Ordenanza 088/06
240,digesto/087-06.doc,Ordenanza 087/06
239,digesto/086-06.doc,Ordenanza 086/06
238,digesto/085-06.doc,Ordenanza 085/06
237,digesto/084-06.doc,Ordenanza 084/06
236,digesto/083-06.doc,Ordenanza 083/06
235,digesto/082-06.doc,Ordenanza 082/06
234,digesto/079-06.doc,Ordenanza 079/06
233,digesto/078-06.doc,Ordenanza 078/06
232,digesto/077-06.doc,Ordenanza 077/06
231,digesto/074-06.doc,Ordenanza 074/06
230,digesto/073-06.doc,Ordenanza 073/06
229,digesto/072-06.doc,Ordenanza 072/06
228,digesto/070-06.doc,Ordenanza  070/06
227,digesto/069-06.doc,Ordenanza 069/06
226,digesto/068-06.doc,Ordenanza 068/06
225,digesto/067-06.doc,Ordenanza 067/06
224,digesto/066-06.doc,Ordenanza 066/06
223,digesto/065-06.doc,Ordenanza 065/06
222,digesto/064-06.doc,Ordenanza 064/06
221,digesto/062-06.doc,Ordenanza 062/06
220,digesto/061-06.doc,Ordenanza 061/06
219,digesto/052-06.doc,Ordenanzas a partir de 052 año 2006
218,digesto/051-06_gBSZbSO.doc,Ordenanza 051/06
217,digesto/047-06.doc,Ordenanza 047/06
216,digesto/046-06.doc,Ordenanza 046/06
215,digesto/045-06.doc,Ordenanza 045/06
214,digesto/043-06.doc,Ordenanza 043/06
213,digesto/042-06.doc,Ordenanza 042/06
212,digesto/041-06.doc,Ordenanza 041/06
211,digesto/040-06.doc,Ordenanza 040/06
210,digesto/039-06.doc,Ordenanza 039/06
209,digesto/038-06.doc,Ordenanza 038/06
208,digesto/037-06.doc,Ordenanza 037/06
207,digesto/036-06.doc,Ordenanza 036/05
206,digesto/034-06.doc,Ordenanza 034/06
205,digesto/033-06.doc,Ordenanza 033/06
204,digesto/032-06.doc,Ordenanza 032/06
203,digesto/030-06.doc,Ordenanza 030/06
202,digesto/029-06.doc,Ordenanza 029/06
201,digesto/028-06.doc,Ordenanza 028/06
200,digesto/027-06.doc,Ordenanza 027/06
199,digesto/026-06.doc,Ordenanza 026/06
198,digesto/025-06_pNQLjVd.doc,Ordenanza 025/06
197,digesto/025-06.doc,Ordenanza 025/06.
196,digesto/024-06.doc,Ordenanza 024/06
195,digesto/023-06.doc,Ordenanza 023/06
194,digesto/022-06.doc,Ordenanza 022/06
193,digesto/021-06.doc,Ordenanza 021/06
192,digesto/020-06.doc,Ordenanza 020/06
191,digesto/019-06.doc,Ordenanza  019/06
190,digesto/018-06.doc,Ordenanza 018/06
189,digesto/017-06.doc,Ordenanza 017/06
188,digesto/016-06.doc,Ordenanza  016/06
187,digesto/015-06.doc,Ordenanza 015/06
186,digesto/014-06.doc,Ordenanza 014/06
185,digesto/013-06.doc,Ordenanza 013/06
184,digesto/012-06.doc,Ordenanza 012/06
183,digesto/011-06.doc,Ordenanza 011/06
182,digesto/010-06.doc,Ordenanza 010/06
181,digesto/006-06.doc,Ordenanza 006/06
180,digesto/05-10-06.doc,Ordenanzas 2006 - MUCHAS sin numerar ni fechar
179,digesto/005-06.doc,Ordenanza 005/06
178,digesto/004-06.doc,Ordenanza 004/06
177,digesto/003-06.doc,Ordenanza 003/06
176,digesto/002-06.doc,Ordenanza 002/06
175,digesto/001-06.doc,Ordenanza 001/06
174,digesto/Tarifaria_2005.doc,Ordenanza 255/05
173,digesto/Ordenanzas_diciembre2005.-.doc,Ordenanzas dic 2005
172,digesto/187-05.doc,Ordenanzas 187/05 a 215/05
171,digesto/186-05.doc,Ordenanza 186/05
170,digesto/185-05.doc,Ordenanza 185/05
169,digesto/184-05.doc,Ordenanza 184/05
168,digesto/183-05.doc,Ordenanza 183/05
167,digesto/182-05.doc,Ordenanza 182/05
166,digesto/181-05.doc,Ordenanza 181/05
165,digesto/180-05_Bolsas.doc,Ordenanza 180/05
164,digesto/179-05.doc,Ordenanza 179/05
163,digesto/178-05.doc,Ordenanza 178/05
162,digesto/177-05.doc,Ordenanza 177/05
161,digesto/176-05.doc,Ordenanza 176/05
160,digesto/135-05.doc,Ordenanza 135/05
159,digesto/131-05.doc,Ordenanza 131/05
158,digesto/130-05.doc,Ordenanza 130/05
157,digesto/103-05.doc,Ordenanza 103/05
156,digesto/074-05.doc,Ordenanza 074/05
155,digesto/073-05.doc,Ordenanza 073/05
154,digesto/072-05.doc,Ordenanza 072/05
153,digesto/071-05.doc,Ordenanza 071/05
152,digesto/054-05.doc,Ordenanza 054/05
151,digesto/053-05.doc,Ordenanza  053/05
150,digesto/052-05.doc,Ordenanza 052/05
149,digesto/051-06.doc,Ordenanza 51/05
148,digesto/021-05.doc,Ordenanza 021/05
147,digesto/020-05.doc,Ordenanza 020/05
146,digesto/019-05.doc,Ordenanza 019/05
145,digesto/018-05.doc,Ordenanza 018/05
144,digesto/001-05.doc,Ordenanzas y resoluciones 001/05 a 015/05
143,digesto/ORDENANZA_N_029_04.pdf_parapentes.pdf,Ordenanza 29/04 Parapentes
142,digesto/Acta_.1270.-.doc,Acta 1270
141,digesto/279-04Presupuesto_2005.doc,Ordenanza 279/04 Presupuesto 2005
140,digesto/278-04.doc,Ordenanza 278/04
139,digesto/277-04.doc,Ordenanza 277/04
138,digesto/276-04.doc,Ordenanza 276/04
137,digesto/275-04.doc,Ordenanza 275/04
136,digesto/274-04.doc,Ordenanza 274/04
135,digesto/273-04.doc,Ordenanza 273/04
134,digesto/272-04.doc,Ordenanza 272/04
133,digesto/271-04.doc,Ordenanza 271/04
132,digesto/270-04.doc,Ordenanza 270/04
131,digesto/269-04.doc,Ordenanza 269/04
130,digesto/268-04.doc,Ordenanza 268/04
129,digesto/267-04.doc,Ordenanza 267/04
128,digesto/266-04.doc,Ordenanza 266/04
127,digesto/265-04.doc,Ordenanza 265/04
126,digesto/264-04.doc,Ordenanza 264/04 y 039/93
125,digesto/263-04.doc,Ordenanza 263/04
124,digesto/262-03.doc,Ordenanza 262/03
123,digesto/262-04.doc,Ordenanza 262/04
122,digesto/261-03_anexo.doc,ORDENANZA ANEXO COD. AMBIENTAL 261/03
121,digesto/261-04.doc,Ordenanza 261/04
120,digesto/260-04.doc,Ordenanza 260/04
119,digesto/259-04.doc,Ordenanza 259/04
118,digesto/258-04_Eh2Ojqb.doc,Ordenanza 258/04
117,digesto/258-04.doc,Ordenanza 258/04
116,digesto/257-04.doc,Ordenanza 257/04
115,digesto/256-04.doc,Ordenanza 256/04
114,digesto/255-04.doc,Ordenanza  255/04
113,digesto/254-04.doc,Ordenanza 254/04
112,digesto/253-04.doc,Ordenanza 253/04
111,digesto/252-04.doc,Ordenanza 252/04
110,digesto/251-04.doc,Ordenanza 251/04
109,digesto/250-04.doc,Ordenanza 250/04
108,digesto/249-04.doc,Ordenanza 249/04
107,digesto/248-04_IGyRltI.doc,Ordenanza 248/04
106,digesto/248-04.doc,Ordenanza  248/04
105,digesto/247-04.doc,Ordenanza 247/04
104,digesto/246-04.doc,Ordenanza 246/04
103,digesto/245-04.doc,Ordenanza 245/04
102,digesto/244-04.doc,Ordenanza 244/04
101,digesto/243-03_Sistema_de_Contralor.doc,Ordenanza 243/03
100,digesto/242-04.doc,Ordenanza 242/04
99,digesto/241-04.doc,Ordenanza 241/04
98,digesto/240-04.doc,Ordenanza  240/04
97,digesto/239-04.doc,Ordenanza  239/04
96,digesto/238-04.doc,Ordenanza 238/04
95,digesto/237-04.doc,Ordenanza 237/04
94,digesto/236-04.doc,Ordenanza 236/04
93,digesto/235-04.doc,Ordenanza 235/04
92,digesto/234-04.doc,Ordenanza 234/04
91,digesto/233-04_red_de_agua_barrio_Lujan.-.doc,Ordenanza 233/04 Red de Agua Barrio Luján
90,digesto/232-04.doc,Ordenanza 232/04
89,digesto/231-04.doc,Ordenanza 231/04
88,digesto/230-04.doc,Ordenanza  230/04
87,digesto/229-04.doc,Ordenanza  229/04
86,digesto/228-04.doc,Ordenanza n° 228/04
85,digesto/227-04.doc,Ordenanza 227/04
84,digesto/226-04.doc,Ordenanza n° 226/04
83,digesto/225-04.doc,Ordenanza 225/04
82,digesto/223-04.doc,Ordenanza n°  223/04
81,digesto/222-04_anexo.doc,ANEXO ORDENANZA 222/04
80,digesto/222-04.doc,Ordenanza n° 222/04
79,digesto/221-04.doc,Ordenanza n° 221/04
78,digesto/220-04_Casas_Banco.doc,Ordenzana n° 220/04 - Casas Banco
77,digesto/219-04.doc,Ordenanza n° 219/04
76,digesto/218-04.doc,Ordenanza n°  218/04
75,digesto/217-04.doc,Ordenanza n°  217/04
74,digesto/216-04.doc,Ordenanza  216/04
73,digesto/215-04.doc,ordenanza 215/04
72,digesto/214-04.doc,Ordenanza 214/04
71,digesto/213-04_5ym8VND.doc,Ordenanza n°213/04
70,digesto/213-04.doc,Ordenanza n°213/04
69,digesto/213-04_AP.doc,ordenanza 213/04 ap
68,digesto/212-04.doc,Ordenanza 212/04
67,digesto/211-04.doc,Ordenanza n° 211/04
66,digesto/210-04.doc,Ordenanza  N° 210/04
65,digesto/209-04.doc,209/04
64,digesto/209-04_gladys_Roman.doc,209/04 GLADYS ROMAN
63,digesto/208-04.doc,Ordenanza n° 208/04
62,digesto/207-04.doc,Ordenanza n° 207/04
61,digesto/206-04.doc,ordenanza 206/04
60,digesto/205-04.doc,Ordenanza n° 205/04
59,digesto/204-04_Pres._04.doc,Ordenanza n° 204/04
58,digesto/203-04.doc,Ordenanza n° 203/04
57,digesto/202-04.doc,Ordenanza n°  202/04
56,digesto/201-04.doc,Ordenanza 204/04
55,digesto/200-04.doc,ordenanza 200/04
54,digesto/199-04.doc,Ordenanza n° 199/04
53,digesto/198-04.doc,ordenanza 198/04
52,digesto/197-04.doc,Ordenanza n° 197/04
51,digesto/196-04.doc,ordenanza 196/04
50,digesto/195-04.doc,Ordenanza n° 195/04
49,digesto/194-04.doc,Ordenanza n° 194/04
48,digesto/193-04.doc,Ordenanza n° 193/04
47,digesto/192-04.doc,ordenanza 192/04
46,digesto/191-04.doc,Ordenanza n° 191/04
45,digesto/190-04.doc,Ordenanza 190/04
44,digesto/189-04.doc,Ordenanza 189/04
43,digesto/186-04_4DpbiiL.doc,ORDENANZA 188/04
42,digesto/187-04.doc,ORDENANZA 187/04
41,digesto/186-04.doc,ordenanza 186/04
40,digesto/185-04.doc,Ordenanza 185/04
39,digesto/184-04.doc,ORDENANZA  184/04
38,digesto/183-04.doc,ordenanza 183/04
37,digesto/182-04.doc,Ordenanza n° 182/04
36,digesto/181-04.doc,Ordenanza n° 181/04
35,digesto/180-04.doc,ordenanza 180/04
34,digesto/179-04.doc,ORDENANZA  N°  179/04
33,digesto/178-04.doc,ordenanza 178/04
32,digesto/177-04.doc,ordenanza 177/04
31,digesto/176-04.doc,ORDENANZA  176/04
30,digesto/175-04.doc,ordenanza 175/04
29,digesto/174-04.doc,174/04
28,digesto/173-04.DOC,ordenanza 173/04
27,digesto/172-04.doc,ordenanza 172/04
26,digesto/171-04.doc,ordenanza 171/04
25,digesto/169-04.doc,ordenanza 169/04
24,digesto/164-04.doc,ordenanza 164/04
23,digesto/163-04.doc,ordenanza 163/04
22,digesto/162-04.doc,162/04
21,digesto/161-04__c-anexo_sLPktUR.doc,161/04 c-anexo
20,digesto/161-04__c-anexo.doc,161/04 c-anexo
19,digesto/141-04_contralor_DsuzueD.doc,141/04 contralor
18,digesto/141-04_contralor.doc,141/04 cpmt
17,digesto/141-01.doc,141/01
16,digesto/136-04.doc,ordenanza 136/04
15,digesto/134-04.doc,ordenanza 134/04
14,digesto/133-04.doc,ordenanza 133/04
13,digesto/132-04.doc,Ordenanza n° 132/04
12,digesto/131-04.doc,ordenanza 131/04
11,digesto/128_-_04.doc,ordenanza 128/04
10,digesto/114-04_contadora.doc,114/04 contadora
9,digesto/103-04_Peledroti.doc,ORDENANZA 103/04
8,digesto/093-04_Emergencia_Habitacional.doc,93/04 emergencia habitacional
7,digesto/087-04.doc,ordenanza 87/04
6,digesto/014-04_Anexo_1_Tarifaria_y_Fiscal.doc,ordenanza 2004 anexo
5,digesto/014-04_Tarifaria_y_Fiscal.doc,20/04 TARIFARIA Y FISCAL
4,digesto/024-04.doc,ORDENANZA 24/04
3,digesto/049-04.doc,ordenanza 49/04
2,digesto/digesto_hasta_2001.doc,DIGESTO MUNICIPAL HASTA 2001
1,digesto/NORMAS_07-03.docx,normas 07/03
